# HRMSv2/CAN LOGGER made by brzanad
# TIMESTAMP - human readable format
# ID - HEX format
# DATA - HEX format
# HH:MM:SS,KKK;ID;DATADATADATADATA
18:29:17,167;0D;0000000000000000
18:29:17,172;20;000080FF396F1040
18:29:17,179;20;000080FF396F1040
18:29:17,188;20;000080FF396F1040
18:29:17,194;20;000080FF396F1040
18:29:17,201;20;000080FF396F1040
18:29:17,206;2C;FF0DD800FF0D0D01
18:29:17,207;28;FF170D00DD280200
18:29:17,208;29;FF130D1063010200
18:29:17,209;20;000080FF396F1040
18:29:17,212;20;000080FF396F1040
18:29:17,217;0D;0000000000000000
18:29:17,219;20;000080FF396F1040
18:29:17,226;20;000080FF396F1040
18:29:17,232;20;000080FF396F1040
18:29:17,239;20;000080FF396F1040
18:29:17,246;20;000080FE396F1040
18:29:17,252;20;000080FE396F1040
18:29:17,259;20;000080FF396F1040
18:29:17,260;2B;FD7B0D00E0CF0100
18:29:17,261;2A;913FAD4125170200
18:29:17,262;2D;1B00640AFF0D8F00
18:29:17,266;20;000080FE396F1040
18:29:17,267;0D;0000000000000000
18:29:17,273;20;000080FE396F1040
18:29:17,279;20;000080FF396F1040
18:29:17,286;20;000080FE396F1040
18:29:17,292;20;000080FE396F1040
18:29:17,299;20;000080FF396F1040
18:29:17,304;2C;FF0DD800FF0D0D01
18:29:17,305;28;FF170D00DD250200
18:29:17,305;29;FF130D10E3000200
18:29:17,306;20;000080FF396F1040
18:29:17,315;20;000080FF396F1040
18:29:17,319;0D;0000000000000000
18:29:17,321;20;000080FF396F1040
18:29:17,326;14;00000000E60B2EC0
18:29:17,327;15;AEB9FB3FD4E54534
18:29:17,328;20;000080FF396F1040
18:29:17,334;20;000080FF396F1040
18:29:17,339;20;000080FF396F1040
18:29:17,346;20;000080FF396F1040
18:29:17,352;20;000080FF396F1040
18:29:17,359;20;000080FF396F1040
18:29:17,360;2B;FD7B0D00A0CF0100
18:29:17,361;2A;913FAD41A5170200
18:29:17,362;2D;1B00640AFF0D8E00
18:29:17,365;17;8099744100000000
18:29:17,366;20;000080FF396F1040
18:29:17,368;0D;0000000000000000
18:29:17,373;20;000080FF396F1040
18:29:17,379;20;000080FF396F1040
18:29:17,386;20;000080FF396F1040
18:29:17,392;20;000080FF396F1040
18:29:17,399;20;000080FF396F1040
18:29:17,404;2C;FF0DDE00FF0D1101
18:29:17,405;28;FF170D001D290200
18:29:17,406;29;FF130D10A3FE0100
18:29:17,407;20;000080FF396F1040
18:29:17,413;20;000080FF396F1040
18:29:17,417;0D;000000000000000
18:29:17,419;20;000080FF396F1040

18:29:17,425;20;000080FE396F1040
18:29:17,443;20;000080FE396F1040
18:29:17,444;20;000080FF396F1040
18:29:17,447;20;000080FE396F1040
18:29:17,453;20;000080FE396F1040
18:29:17,459;20;000080FF396F1040
18:29:17,460;2B;FD7B0D00A0CF0100
18:29:17,461;2A;913FAD4125140200
18:29:17,462;2D;1B00640AFF0D9100
18:29:17,466;20;000080FE396F1040
18:29:17,467;0D;0000000000000000
18:29:17,472;20;000080FE396F1040
18:29:17,479;20;000080FF396F1040
18:29:17,486;20;000080FF396F1040
18:29:17,493;20;000080FF396F1040
18:29:17,500;20;000080FF396F1040
18:29:17,503;2C;FF0DD900FF0D0A01
18:29:17,504;28;FF170D001D290200
18:29:17,505;29;FF130D10A3010200
18:29:17,506;20;000080FF396F1040
18:29:17,512;20;000080FF396F1040
18:29:17,517;0D;0000000000000000
18:29:17,519;20;000080FF396F1040
18:29:17,526;20;000080FF396F1040
18:29:17,533;20;000080FF396F1040
18:29:17,540;20;000080FF396F1040
18:29:17,545;20;000080FF396F1040
18:29:17,552;20;000080FF396F1040
18:29:17,558;01;0002000001010081
18:29:17,559;20;000080FF396F1040
18:29:17,560;2B;FD7B0D00A0CF0100
18:29:17,561;2A;913FAD4125170200
18:29:17,562;2D;1B00640AFF0D8C00
18:29:17,567;20;000080FF396F1040
18:29:17,568;0D;0000000000000000
18:29:17,573;20;000080FF396F1040
18:29:17,575;14;00000000E60B2EC0
18:29:17,576;15;AEB9FB3F0E2EDDB6
18:29:17,580;20;000080FF396F1040
18:29:17,586;20;000080FF396F1040
18:29:17,592;20;000080FF396F1040
18:29:17,599;20;000080FF396F1040
18:29:17,604;2C;FF0DD700FF0D0B01
18:29:17,605;28;FF170D009D270200
18:29:17,606;29;FF130D10A3010200
18:29:17,607;20;000080FF396F1040
18:29:17,613;20;000080FF396F1040
18:29:17,616;17;8099744100000000
18:29:17,617;0D;0000000000000000
18:29:17,620;20;000080FF396F1040
18:29:17,626;20;000080FF396F1040
18:29:17,632;20;000080FF396F1040
18:29:17,639;20;000080FF396F1040
18:29:17,646;20;000080FF396F1040
18:29:17,653;20;000080FF396F1040
18:29:17,660;20;000080FF396F1040
18:29:17,660;2B;FD7B0D0060CF0100
18:29:17,661;2A;913FAD4165170200
18:29:17,662;2D;1B00640AFF0D9000
18:29:17,666;20;000080FF396F1040
18:29:17,667;0D;0000000000000000
