# HRMSv2/CAN LOGGER made by brzanad
# TIMESTAMP - human readable format
# ID - HEX format
# DATA - HEX format
# HH:MM:SS,KKK;ID;DATADATADATADATA
02:15:055,766;40;8B03F90C02000000
02:15:05,776;40;8B03FA0C02000000
02:15:05,786;40;8B03F50C02000000
02:15:05,795;40;8B03F90C02000000
02:15:05,806;40;8B03F60C02000000
02:15:05,816;40;8C03FB0C02000000
02:15:05,826;40;8C03F80C02000000
02:15:05,835;40;8C03F80C02000000
02:15:05,846;40;8C03FA0C02000000
02:15:05,853;40;8C03F70C02000000
02:15:05,863;40;8C03FA0C02000000
02:15:05,873;40;8C03F60C02000000
02:15:05,883;40;8C03F70C02000000
02:15:05,893;40;8C03FB0C02000000
02:15:05,903;40;8C03F70C02000000
02:15:05,913;40;8D03F40C02000000
02:15:05,923;40;8D03F90C02000000
02:15:05,933;40;8D03F40C02000000
02:15:05,943;40;8D03FD0C02000000
02:15:05,956;40;8D03F60C02000000
02:15:05,966;40;8D03F40C02000000
02:15:05,976;40;8D03F30C02000000
02:15:05,986;40;8D03F50C02000000
02:15:05,996;40;8D03F30C02000000
02:15:06,006;40;8D03F60C02000000
02:15:06,016;40;8E03F60C02000000
02:15:06,026;40;8E03F10C02000000
02:15:06,036;40;8E03FB0C02000000
02:15:06,045;40;8E03F50C02000000
02:15:06,053;40;8E03F10C02000000
02:15:06,063;40;8E03F40C02000000
02:15:06,073;40;8E03F20C02000000
02:15:06,084;40;8E03ED0C02000000
02:15:06,093;40;8E03F60C02000000
02:15:06,103;40;8E03F60C02000000
02:15:06,113;40;8F03F40C02000000
02:15:06,123;40;8F03F10C02000000
02:15:06,133;40;8F03F60C02000000
02:15:06,143;40;8F03EF0C02000000
02:15:06,156;40;8F03F30C02000000
02:15:06,166;40;8F03F80C02000000
02:15:06,176;40;8F03F20C02000000
02:15:06,186;40;8F03F20C02000000
02:15:06,195;40;8F03F40C02000000
02:15:06,206;40;8F03ED0C02000000
02:15:06,216;40;9003ED0C02000000
02:15:06,226;40;9003EE0C02000000
02:15:06,236;40;9003F00C02000000
02:15:06,246;40;9003EE0C02000000
02:15:06,253;40;9003EF0C02000000
02:15:06,263;40;9003EA0C02000000
02:15:06,273;40;9003EC0C02000000
02:15:06,283;40;9003EA0C02000000
